Year	Month	Repo	Reverse Repo	Interbank Rate	91-Day T-bill	182-Day T-bill	364-Day T-bill	Cash Reserve Requirement	Central Bank Rate
2016	July	9.76	10.57	5.88	6.16	9.79	10.88	5.25	10.5
2016	June	10.04	10.59	4.56	7.25	9.56	10.84	5.25	10.5
2016	May	6	11.55	3.82	8.15	10.25	11.6	5.25	10.5
2016	April	5.23	12.49	4.01	8.92	10.87	11.84	5.25	11.5
2016	March	4.31	11.63	4.1	8.72	10.83	12.26	5.25	11.5
2016	February	9.68	11.58	4.54	10.63	13.19	13.74	5.25	11.5
2016	January	8.85	11.44	6.12	11.36	13.46	14.08	5.25	11.5
2015	December	9.23	11.93	7.27	9.81	11.43	12.5	5.25	11.5
2015	November		14.21	8.77	12.34	14.02	15.2	5.25	11.5
2015	October	11.5	18.12	14.82	21.65	21.52	21.61	5.25	11.5
2015	September	11.5	0	19.85	14.61	13.4	15.24	5.25	11.5
2015	August	11.5	0	18.8	11.54	`	13.3	5.25	11.5
2015	July	10.61	0	12.89	10.57	11.99	11.93	5.25	11.5
2015	June	9.7	0	11.78	8.26	10.55	10.98	5.25	10
2015	May	8.5	0	11.17	8.26	10.37	10.77	5.25	8.5
2015	April	8.38	0	8.77	8.42	10.26	10.57	5.25	8.5
2015	March	8.08	0	6.85	8.49	10.35	10.69	5.25	8.5
2015	February	7.87	0	6.77	8.59	10.37	10.96	5.25	8.5
2015	January	8.09	0	7.12	8.59	10.19	10.73	5.25	8.5
2014	December	8.29	0	6.91	8.58	9.49	10.38	5.25	8.5
2014	November	8.17	0	6.86	8.64	9.18	10.24	5.25	8.5
2014	October	8.39	0	6.73	8.67	8.91	10.28	5.25	8.5
2014	September	8.39	0	7.43	8.38	8.61	10.26	5.25	8.5
2014	August	12.95	0	11.79	8.29	8.85	10.28	5.25	8.5
2014	July	0	0	8.08	9.78	10.74	10.96	5.25	8.5
2014	June	6.46	0	6.6	9.81	10.5	10.55	5.25	8.5
2014	May	8.42	0	7.76	8.82	9.86	10.09	5.25	8.5
2014	April	8.39	0	7.4	8.8	9.83	10.2	5.25	8.5
2014	March	6.92	0	6.47	8.98	10.08	10.46	5.25	8.5
2014	February	0	0	8.83	9.16	10.35	10.67	5.25	8.5
2014	January	0	0	10.43	9.26	10.36	10.65	5.25	8.5
2013	December	7.95	11	8.98	9.52	10.41	10.69	5.25	8.5
2013	November	0	12	10.77	9.94	10.54	10.97	5.25	8.5
2013	October	0	0	10.66	9.72	10.28	10.75	5.25	8.5
2013	September	7.11	0	7.52	9.58	10.15	10.91	5.25	8.5
2013	August	0	9	8.88	10.03	9.57	11.35	5.25	8.5
